Organization Name,Address,Tel-no,Category,Keywords
"WESTERN PENNSYLVANIA OBSTETRICAL AND GYNECOLOGICAL MULTISPECIALISTS,PC",4815 LIBERTY AVE SUITE 321 PITTSBURGH United States 152242156 PA,412-578-1116,Obstetrics & Gynecology,Women & Reproductive Care
UNIVERSITY OF PITTSBURGH PHYSICIANS,3471 5TH AVE SUITE 1010 PITTSBURGH United States 152133215 PA,412-647-0943,Prosthetic/Orthotic Supplier,
UNIVERSITY OF PITTSBURGH PHYSICIANS,203 LOTHROP ST 7TH FLOOR EYE & EAR INSTITUTE PITTSBURGH United States 152132548 PA,412-647-0943,"Eyewear Supplier (Equipment, not the service)",Eye and Ear Care
MEDICAL RESCUE TEAM SOUTH AUTHORITY,315 CYPRESS WAY  PITTSBURGH United States 15228 PA,412-343-5111,Ambulance Land Transport,
UPMC SOUTH SIDE,2000 MARY ST  PITTSBURGH United States 152032054 PA,412-432-5500,Psychiatric Unit,
"NOVA DENTAL ASSOCIATES, PC",369 BUTLER ST  PITTSBURGH United States 152232124 PA,412-784-1522,Dentist General Practice,Dental Care
UPMC ST MARGARET TRANSTL,815 FREEPORT RD  PITTSBURGH United States 152153301 PA,412-432-5500,Skilled Nursing Facility,
UPMC SOUTH SIDE,200 LOTHROP ST QUANTUM #1 3RD FL. PITTSBURGH United States 152132536 PA,412-432-5500,Rehabilitation Unit,Mental Health and Rehabilitation
PSYCHOLOGICAL & COUNSELING CTR,1900 MURRAY AVE SUITE 205 PITTSBURGH United States 152171657 PA,412-421-2205,Psychologist,
UPMC SOUTHSIDE TRANSITIONAL,2000 MARY ST  PITTSBURGH United States 152032054 PA,412-432-5500,Skilled Nursing Facility,
UPMC MERCY,1400 LOCUST ST 3 FLOOR ST ANN CENTER PITTSBURGH United States 152195114 PA,412-232-5959,Home Health,
UNIVERSITY OF PITTSBURGH PHYSICIANS,300 HALKET ST  PITTSBURGH United States 152133108 PA,412-647-0943,Durable Medical Equipment & Medical Supplies,
VUJEVICH DERMATOLOGY ASSOCIATES PC,100 N WREN DR  PITTSBURGH United States 152431248 PA,412-429-2570,Specialist,
DR. ROSS D. VAUGHAN,300 MT LEBANON BLVD SUITE 2205 PITTSBURGH United States 15234 PA,412-531-6196,Chiropractor,
UPMC PRESBYTERIAN SHADYSIDE,200 LOTHROP ST  PITTSBURGH United States 152132536 PA,412-432-5500,Skilled Nursing Facility,
PHARMACARE DIRECT,620 EPSILON DR  PITTSBURGH United States 152382808 PA,412-967-2300,Pharmacy Mail Order Pharmacy,Pharmacy
ZITELLI & BRODLAND PC,5200 CENTRE AVENUE SUITE 303 PITTSBURGH United States 15232 PA,412-681-9400,Clinic/Center Ambulatory Surgical,
GIANT EAGLE INC,GRNTR AND 1717 COCHRAN RD  PITTSBURGH United States 15220 PA,412-343-8217,Pharmacy Community/Retail Pharmacy,Pharmacy
GIANT EAGLE INC,4250 MURRAY AVE  PITTSBURGH United States 152172904 PA,412-421-1340,Pharmacy Community/Retail Pharmacy,Pharmacy
GIANT EAGLE INC,BAPTIST AND GROVE RDS  PITTSBURGH United States 15236 PA,412-881-4602,Pharmacy Community/Retail Pharmacy,Pharmacy
GIANT EAGLE INC,47TH AND PLUMMER ST  PITTSBURGH United States 15201 PA,412-682-1485,Pharmacy Community/Retail Pharmacy,Pharmacy
GIANT EAGLE INC,1165 MCKINNEY LN  PITTSBURGH United States 152203417 PA,412-921-1610,Pharmacy Community/Retail Pharmacy,Pharmacy
BAPTIST HOMES SOCIETY,489 CASTLE SHANNON BLVD  PITTSBURGH United States 152341419 PA,412-572-8240,Skilled Nursing Facility,
DATTILO AND HALL LLC,305 MOUNT LEBANON BLVD 305 PITTSBURGH United States 152341511 PA,412-563-7707,Dentist Oral and Maxillofacial Surgery,"Surgery, Dental Care"
"THOMAS L. SCHAEFER, MD",6011 BAPTIST RD SUITE 200 PITTSBURGH United States 152363305 PA,412-851-1200,Specialist,
"INFECTIOUS DISEASE ASSOCIATES OF WESTERN PENNSYLVANIA, INC",4778 LIBERTY AVE 3RD FLOOR PITTSBURGH United States 152242040 PA,412-681-0966,Internal Medicine Infectious Disease,
WEST PENN ALLEGHENY HEALTH SYSTEM INC,4815 LIBERTY AVE SUITE 156 PITTSBURGH United States 152242156 PA,412-688-0207,Specialist,
MCKESSON SPECIALTY PHARMACEUTICALS LLC,700 WATERFRONT DR  PITTSBURGH United States 152224742 PA,412-992-5762,Pharmacy Mail Order Pharmacy,Pharmacy
BEST-MADE SHOES,5143 LIBERTY AVE  PITTSBURGH United States 152242217 PA,412-621-9363,Durable Medical Equipment & Medical Supplies,
FRAUDIN CHIROMED P.C.,1030 BOYCE RD  PITTSBURGH United States 152413907 PA,412-257-8090,Chiropractor,
"WEST PENN ALLEGHENY HEALTH SYSTEM, INC.",4955 STEUBENVILLE PIKE SUITE 180 PITTSBURGH United States 152059619 PA,412-787-7005,Podiatrist,
SHADYSIDE OPTICAL ASSOCIATES LLC,5508 WALNUT ST # 5510  PITTSBURGH United States 152322312 PA,412-441-5300,Optometrist,
WILKINS TOWNSHIP OPTICAL ASSOCIATES LLC,3444 WILLIAM PENN HWY  PITTSBURGH United States 152355413 PA,412-825-5300,Optometrist,
LAZOR & BENLOCK HOME HEALTH INC.,110 FORT COUCH RD  PITTSBURGH United States 152411030 PA,412-835-2626,Home Health,
GIANT EAGLE INC,5550 CENTRE AVE  PITTSBURGH United States 152321206 PA,412-682-5466,Pharmacy Community/Retail Pharmacy,Pharmacy
SMOOKE CHIROPRACTIC CLINIC,828 HAZELWOOD AVE  PITTSBURGH United States 152172967 PA,412-422-4321,Chiropractor Rehabilitation,Mental Health and Rehabilitation
COGNITIVE DYNAMIC THERAPY ASSOCIATES INC,155 N CRAIG STREET SUITE 170 PITTSBURGH United States 15213 PA,412-687-8700,Psychologist,
GARRY J. BLOCH DMD LLC,355 5TH AVE SUITE 1110 PITTSBURGH United States 152222409 PA,412-391-3003,Dentist Periodontics,Dental Care
"PARTNERS IN NEPHROLOGY AND ENDOCRINOLOGY, PC",5171 LIBERTY AVE  PITTSBURGH United States 152242215 PA,412-638-4550,Specialist,
VISION CARE PC,810 CLAIRTON BLVD SUITE 200 PITTSBURGH United States 152364519 PA,412-653-3000,Optometrist,
THREE RIVERS NEPHROLOGY & BETTS C ROSS MEMBER,1401 FORBES AVE SUITE 350 PITTSBURGH United States 152195125 PA,412-232-8688,Internal Medicine Nephrology,
UNIVERSITY OF PITTSBURGH OFFICE OF THE CONPTROLLER,103 UNIVERSITY PLACE  PITTSBURGH United States 15260 PA,412-383-1850,Pharmacy Clinic Pharmacy,Pharmacy
PENNSYLVANIA CVS PHARMACY LLC,600 CHAUVET DR  PITTSBURGH United States 152751043 PA,412-490-0802,Pharmacy,Pharmacy
PENNSYLVANIA CVS PHARMACY LLC,9805 MCKNIGHT RD  PITTSBURGH United States 152376008 PA,412-369-9446,Pharmacy,Pharmacy
PENNSYLVANIA CVS PHARMACY LLC,288 MOUNT NEBO POINTE RD  PITTSBURGH United States 152371317 PA,412-536-8201,Pharmacy,Pharmacy
"RHIZULTZ PT, LLC",9800 MCKNIGHT RD  PITTSBURGH United States 152376004 PA,412-348-1271,Clinic/Center Physical Therapy,
VISUALEYES OF PENNSYLVANIA INC.,650 RIDGE RD SUITE 100 PITTSBURGH United States 152059503 PA,412-788-4664,Optometrist,
WAL-MART STORES EAST LP,250 SUMMIT PARK DR  PITTSBURGH United States 152751202 PA,412-788-9110,Pharmacy Community/Retail Pharmacy,Pharmacy
DORAL PHARMACEUTICALS LLC,799 CASTLE SHANNON BLVD  PITTSBURGH United States 152341601 PA,412-561-2417,Pharmacy Community/Retail Pharmacy,Pharmacy
GIANT EAGLE INC,9001 FRANKSTOWN RD  PITTSBURGH United States 152351432 PA,412-371-0858,Pharmacy Community/Retail Pharmacy,Pharmacy
IN HOME HEALTH LLC,"750 HOLIDAY DR BLDG 9, SUITE 110 PITTSBURGH United States 152202769 PA",412-928-2126,"Hospice Care, Community Based",
"CENTRAL CARDIOVASCULAR ASSOCIATES, P.C.",1350 LOCUST ST SUITE 208 PITTSBURGH United States 152194738 PA,412-562-3292,Internal Medicine Cardiovascular Disease,
ABUNDANT LIVING AT PETERSONS INC,3884 EAST ST  PITTSBURGH United States 152142029 PA,412-231-7866,"Community Based Residential Treatment, Mental Retardation and/or Developmental Disabilities",Mental Health and Rehabilitation
ZOLL SERVICES LLC,121 GAMMA DRIVE  PITTSBURGH United States 152382919 PA,412-968-3333,Durable Medical Equipment & Medical Supplies,
"FINE ART MIRACLES, INC.",3307 SHADY AVENUE EXT  PITTSBURGH United States 152173012 PA,412-432-9559,Music Therapist,
SOUTH VUE DENTISTRY,180 FORT COUCH RD STE 415  PITTSBURGH United States 152411050 PA,412-835-2288,Clinic/Center Dental,
THE CHILDREN'S INSTITUTE OF PITTSBURGH,6301 NORTHUMBERLAND ST  PITTSBURGH United States 152171360 PA,412-244-3054,Community/Behavioral Health,
GIANT EAGLE INC,1029 W VIEW PARK DR  PITTSBURGH United States 15229 PA,412-931-0393,Pharmacy Community/Retail Pharmacy,Pharmacy
"PREFERRED HOME HEALTH CARE & NURSING SERVICES, INC.",5500 CORPORATE DR STE 235  PITTSBURGH United States 152375848 PA,412-364-1451,Home Health,
KEYSTONE REHABILITATION SYSTEMS INC,5100 LIBERTY AVE  PITTSBURGH United States 152242218 PA,412-683-3412,Clinic/Center Rehabilitation,Mental Health and Rehabilitation
WALGREEN CO,1741 WASHINGTON RD  PITTSBURGH United States 152411201 PA,412-835-3549,Pharmacy,Pharmacy
WALGREEN CO,4 OLD CLAIRTON RD  PITTSBURGH United States 152363905 PA,412-650-7354,Pharmacy,Pharmacy
WALGREEN CO,10707 FRANKSTOWN RD  PITTSBURGH United States 152353040 PA,412-247-7583,Pharmacy,Pharmacy
JUDY'S TEAM,4214 CAMPBELLS RUN RD  PITTSBURGH United States 152051306 PA,412-279-9205,Non-emergency Medical Transport (VAN),
"SPINE & SPORTS INJURY REHABILITATION CENTER, P.C.",400 MOUNT LEBANON BLVD  PITTSBURGH United States 152341503 PA,412-341-4344,Chiropractor,
GEORGIADES SURGICAL ASSOCIATES,5200 CENTRE AVE SUITE 614 PITTSBURGH United States 152321300 PA,724-850-6985,Surgery,Surgery
DR. MARK J. UHLER AND ASSOCIATES LLC,250 SUMMIT PARK DR  PITTSBURGH United States 152751202 PA,412-788-9193,Optometrist,
"LAWRENCEVILLE VISION CARE, P.C.",4122 BUTLER ST  PITTSBURGH United States 152013162 PA,412-682-2339,Optometrist,
JAMES & CHAROLETTE ENTERPRISES INC.,160 SOUTHERN AVE  PITTSBURGH United States 152111910 PA,412-431-0711,Psychiatry & Neurology Psychiatry,
SANALJON MEDICAL CARE,216 SUMMIT PARK DR  PITTSBURGH United States 152751220 PA,412-787-6340,Durable Medical Equipment & Medical Supplies,
GLENN N COOK AND ASSOCIATES INC,997 PERRY HWY  PITTSBURGH United States 152372130 PA,412-366-5337,Pharmacy Community/Retail Pharmacy,Pharmacy
"BRENTWOOD MEDICAL GROUP, INC.",3720 BROWNSVILLE RD  PITTSBURGH United States 152273520 PA,412-882-9455,Internal Medicine,
MEYERS PROFESSIONAL GROUP,2121 NOBLESTOWN RD SUITE 21 PITTSBURGH United States 152053956 PA,412-920-4200,Psychologist,
"HEALTHQUEST BEHAVIORAL SERVICES, LLC",105 BRAUNLICH DR SUITE 480 - MCKNIGHT PLAZA PITTSBURGH United States 15237 PA,412-358-8666,Psychiatry & Neurology Psychiatry,
"WEST PENN ALLEGHENY HEALTH SYSTEM, INC.",4800 FRIENDSHIP AVE SUITE N1 PITTSBURGH United States 152241722 PA,412-688-7580,Podiatrist,
ASSOCIATES IN DIAGNOSTIC INTERNAL MEDICINE INC.,3471 FIFTH AVENUE SUITE 402 PITTSBURGH United States 152133221 PA,412-692-2992,Internal Medicine,
PENNSYLVANIA CVS PHARMACY LLC,70 W STEUBEN ST  PITTSBURGH United States 152052663 PA,412-921-2060,Pharmacy,Pharmacy
PENNSYLVANIA CVS PHARMACY LLC,242 250 FIFTH AVE  PITTSBURGH United States 15222 PA,412-566-2619,Pharmacy,Pharmacy
PENNSYLVANIA CVS PHARMACY LLC,10600 FRANKSTOWN RD  PITTSBURGH United States 152353074 PA,412-241-3348,Pharmacy,Pharmacy
PENNSYLVANIA CVS PHARMACY LLC,6100 PENN AVE  PITTSBURGH United States 152063925 PA,412-362-0575,Pharmacy,Pharmacy
PENNSYLVANIA CVS PHARMACY LLC,3075 W LIBERTY AVE  PITTSBURGH United States 152162460 PA,412-341-2269,Pharmacy,Pharmacy
PENNSYLVANIA CVS PHARMACY LLC,5600 WILKINS AVE  PITTSBURGH United States 152171212 PA,412-521-5690,Pharmacy,Pharmacy
PENNSYLVANIA CVS PHARMACY LLC,510 BROOKLINE BLVD  PITTSBURGH United States 152262002 PA,412-531-2190,Pharmacy,Pharmacy
PENNSYLVANIA CVS PHARMACY LLC,4610 CENTRE AVE  PITTSBURGH United States 152131504 PA,412-683-8827,Pharmacy,Pharmacy
"PENNSYLVANIA CVS PHARMACY, L.L.C.",429 SMITHFIELD ST  PITTSBURGH United States 152222209 PA,412-261-4846,Pharmacy,Pharmacy
CL CRESSLER INC,3900 PERRYSVILLE AVE SUITE A PITTSBURGH United States 152141748 PA,412-231-8300,Pharmacy Community/Retail Pharmacy,Pharmacy
DAN'S SOUTH HILLS PHARMACY,250 MOUNT LEBANON BLVD  PITTSBURGH United States 152341252 PA,412-561-2347,Pharmacist,Pharmacy
"PENNSYLVANIA CVS PHARMACY, L.L.C.",5242 CLAIRTON BLVD  PITTSBURGH United States 152362711 PA,412-885-5864,Pharmacy,Pharmacy
ECKERD CORPORATION,4770 MCKNIGHT ROAD  PITTSBURGH United States 152373419 PA,412-364-8100,Pharmacy Community/Retail Pharmacy,Pharmacy
NEWMAN CHIROPRACTIC CENTER,1927 EAST CARSON STREET  PITTSBURGH United States 15203 PA,412-381-4422,Chiropractor,
"BIO-MEDICAL APPLICATIONS OF PENNSYLVANIA, INC.",5301 5TH AVE  PITTSBURGH United States 152322124 PA,412-683-8814,Clinic/Center End-Stage Renal Disease (ESRD) Treatment,
CENK CHIROPRACTIC AR ALEXANDERS,2585 FREEPORT RD SUITE #106 PITTSBURGH United States 152381425 PA,412-828-4430,Chiropractor,
SOUTH HILLS DIAGNOSTIC & TREATMENT CENTER LP,2589 BOYCE PLAZA RD  PITTSBURGH United States 152414907 PA,412-838-0400,Clinic/Center Ambulatory Surgical,
"BIO-MEDICAL APPLICATIONS OF PENNSYLVANIA, INC.",1401 FORBES AVE  PITTSBURGH United States 152195125 PA,412-281-8233,Clinic/Center End-Stage Renal Disease (ESRD) Treatment,
A-BOSS OPTICIANS INC,938 BROOKLINE BLVD  PITTSBURGH United States 15226 PA,412-561-0811,Durable Medical Equipment & Medical Supplies,
"THE CENTER FOR UROLOGIC CARE, PC",5750 CENTRE AVE SUITE 395 PITTSBURGH United States 152063721 PA,412-661-3400,Urology,
MICHAEL J ASHMORE INC,915 MOUNT ROYAL BLVD  PITTSBURGH United States 152231046 PA,412-486-5200,Pharmacy Community/Retail Pharmacy,Pharmacy
"SHADYSIDE SURGI-CENTER, INC.",5727 CENTRE AVE  PITTSBURGH United States 152063707 PA,412-363-6626,Clinic/Center Ambulatory Surgical,
"R.A. CAPONE, JR., M.D., P.C.",5727 CENTRE AVE  PITTSBURGH United States 152063707 PA,412-363-6626,Plastic Surgery,Surgery
ST. CLAIR MEMORIAL HOSPITAL,1000 BOWER HILL RD  PITTSBURGH United States 152431899 PA,412-942-1234,Rehabilitation Unit,Mental Health and Rehabilitation
THRIFT DRUG INC,2501 BANKSVILLE ROAD  PITTSBURGH United States 152162853 PA,412-571-2550,Pharmacy Community/Retail Pharmacy,Pharmacy
THRIFT DRUG INC,225 SHILOH ST  PITTSBURGH United States 152111623 PA,412-381-5184,Pharmacy Community/Retail Pharmacy,Pharmacy
THRIFT DRUG INC,1121 BOWER HILL ROAD  PITTSBURGH United States 152431301 PA,412-923-1550,Pharmacy Community/Retail Pharmacy,Pharmacy
THRIFT DRUG INC,1222 BROWNSVILLE ROAD  PITTSBURGH United States 152103651 PA,412-884-3356,Pharmacy Community/Retail Pharmacy,Pharmacy
THRIFT DRUG INC,1956 GREENTREE ROAD  PITTSBURGH United States 152201813 PA,412-563-3933,Pharmacy Community/Retail Pharmacy,Pharmacy
THRIFT DRUG INC,5410 KEEPORT DRIVE  PITTSBURGH United States 152363006 PA,412-655-9455,Pharmacy Community/Retail Pharmacy,Pharmacy
THRIFT DRUG INC,880 BUTLER STREET  PITTSBURGH United States 152231319 PA,412-782-2466,Pharmacy Community/Retail Pharmacy,Pharmacy
THRIFT DRUG INC,1804 GOLDEN MILE HIGHWAY  PITTSBURGH United States 152392828 PA,724-327-4850,Pharmacy Community/Retail Pharmacy,Pharmacy
ECKERD CORPORATION,3730 BRIGHTON ROAD  PITTSBURGH United States 152121966 PA,412-761-3363,Pharmacy Community/Retail Pharmacy,Pharmacy
THRIFT DRUG INC,1125 FREEPORT ROAD  PITTSBURGH United States 152383103 PA,412-782-2277,Pharmacy Community/Retail Pharmacy,Pharmacy
THRIFT DRUG INC,519 PENN AVENUE  PITTSBURGH United States 152223208 PA,412-391-0969,Pharmacy Community/Retail Pharmacy,Pharmacy
THRIFT DRUG INC,410 COOKE LANE  PITTSBURGH United States 152341414 PA,412-563-1505,Pharmacy Community/Retail Pharmacy,Pharmacy
THRIFT DRUG INC,623 EAST OHIO STREET  PITTSBURGH United States 152125619 PA,412-322-1566,Pharmacy Community/Retail Pharmacy,Pharmacy
THRIFT DRUG INC,3700 FORBES AVENUE  PITTSBURGH United States 152133409 PA,412-681-1332,Pharmacy Community/Retail Pharmacy,Pharmacy
CLARKE AND COMPANY PATHOLOGY INC,1000 BOWER HILL ROAD  PITTSBURGH United States 152431873 PA,800-288-8325,Pathology Clinical Pathology/Laboratory Medicine,
THRIFT DRUG INC,2336 ARDMORE BLVD  PITTSBURGH United States 152215225 PA,412-271-8570,Pharmacy Community/Retail Pharmacy,Pharmacy
THRIFT DRUG INC,4411 HOWLEY STREET  PITTSBURGH United States 152241509 PA,412-621-9987,Pharmacy Community/Retail Pharmacy,Pharmacy
THRIFT DRUG INC,5633 BAUM BOULEVARD  PITTSBURGH United States 152063778 PA,412-441-6991,Pharmacy Community/Retail Pharmacy,Pharmacy
THRIFT DRUG INC,513 PERRY HIGHWAY  PITTSBURGH United States 152291820 PA,412-931-7751,Pharmacy Community/Retail Pharmacy,Pharmacy
THRIFT DRUG INC,3434 WILLIAM PENN HIGHWAY  PITTSBURGH United States 152355411 PA,412-824-8860,Pharmacy Community/Retail Pharmacy,Pharmacy
THRIFT DRUG INC,6200 SALTSBURG ROAD  PITTSBURGH United States 152352066 PA,412-798-0490,Pharmacy Community/Retail Pharmacy,Pharmacy
THRIFT DRUG INC,1915 1921 EAST CARSON STREET  PITTSBURGH United States 15203 PA,412-481-8818,Pharmacy Community/Retail Pharmacy,Pharmacy
THRIFT DRUG INC,1130 PERRY HIGHWAY  PITTSBURGH United States 152372142 PA,412-369-4267,Pharmacy Community/Retail Pharmacy,Pharmacy
THRIFT DRUG INC,200 CRAFTON INGRAM SHOPPING CENTER  PITTSBURGH United States 15205 PA,412-921-5755,Pharmacy Community/Retail Pharmacy,Pharmacy
THRIFT DRUG INC,2501 SAW MILL RUN BOULEVARD  PITTSBURGH United States 152343110 PA,412-882-0500,Pharmacy Community/Retail Pharmacy,Pharmacy
THRIFT DRUG INC,568 CASTE VILLAGE  PITTSBURGH United States 152361555 PA,412-881-5650,Pharmacy Community/Retail Pharmacy,Pharmacy
THRIFT DRUG INC,2158 BROWNSVILLE ROAD  PITTSBURGH United States 15210 PA,412-881-6439,Pharmacy Community/Retail Pharmacy,Pharmacy
"RENAISSANCE ORTHOPAEDICS, P.C.",300 HALKET ST SUITE 1601 PITTSBURGH United States 152133108 PA,412-683-7272,Orthopaedic Surgery,Surgery
ST. CLAIR MEMORIAL HOSPITAL,1000 BOWER HILL RD  PITTSBURGH United States 152431899 PA,866-248-4500,Psychiatric Unit,
VINCENTIAN COLLABORATIVE SYSTEM REHABILITATION SERVICES,111 PERRYMONT RD  PITTSBURGH United States 152375246 PA,412-348-1593,Physical Therapist,
THRIFT DRUG INC,623 SMITHFIELD STREET  PITTSBURGH United States 15222 PA,412-471-8882,Pharmacy Community/Retail Pharmacy,Pharmacy
ELDERCARE VENTURES INC,6655 FRANKSTOWN AVENUE  PITTSBURGH United States 152064148 PA,412-665-3044,Skilled Nursing Facility,
"RESULTS FAMILY CHIROPRACTIC, P.C.",8670 PEEBLES RD  PITTSBURGH United States 152375722 PA,412-366-5474,Chiropractor,
ALL ABOUT EYES OF MT. LEBANON,315 BEVERLY RD  PITTSBURGH United States 15216 PA,412-531-2200,Optometrist,
LIFEFORCE CHIROPRACTIC INCORPORATED,5400 KEEPORT DR  PITTSBURGH United States 152363006 PA,412-655-8171,Chiropractor,
"ANTHONY J PINEVICH, MD, PC",1400 LOCUST ST  PITTSBURGH United States 152195114 PA,412-232-7330,Internal Medicine Nephrology,
"JOAN Z WITT, DDS & ASSOCIATES, INC",250 MOUNT LEBANON BLVD SUITE 201 PITTSBURGH United States 152341252 PA,412-344-7755,Dentist General Practice,Dental Care
UNION ORTHOTICS & PROSTHETICS CO,3424 LIBERTY AVENUE  PITTSBURGH United States 152011323 PA,412-622-2020,Prosthetic/Orthotic Supplier,
ADAGIO HEALTH INC.,211 N WHITFIELD ST SUITE 850 PITTSBURGH United States 152063039 PA,412-661-2900,"Clinic/Center Family Planning, Non-Surgical",
"WEST PENN ALLEGHENY HEALTH SYSTEM, INC.",4800 FRIENDSHIP AVE  PITTSBURGH United States 152241722 PA,412-325-7200,"Hospice Care, Community Based",
ADAGIO HEALTH INC,FORBES AND STANWIX STREET TOWN PLACE SUITE 1000 PITTSBURGH United States 15222 PA,412-288-2140,"Clinic/Center Family Planning, Non-Surgical",
EVAN J MERENSTEIN & BARRY A MERENSTEIN,4203 MURRAY AVE  PITTSBURGH United States 152172903 PA,412-421-2020,Durable Medical Equipment & Medical Supplies,
NEUROLOGICAL NEURODIAGNOSTIC ASSOCIATES,4815 LIBERTY AVE SUITE 426 PITTSBURGH United States 152242156 PA,412-682-2536,Psychiatry & Neurology Neurology,
WADHWA MEDICAL ASSOCIATES PC,850 CLAIRTON BLVD  PITTSBURGH United States 152364567 PA,412-469-1990,Pain Medicine Interventional Pain Medicine,
"WEST PENN ALLEGHENY HEALTH SYSTEM, INC",4815 LIBERTY AVE SUITE 235 PITTSBURGH United States 152242156 PA,412-681-5995,Plastic Surgery,Surgery
MERCY PRIMARY CARE INC,1400 LOCUST ST  PITTSBURGH United States 152195114 PA,412-937-8887,Internal Medicine,
PEDIATRIC & ADULT ALLERGY & ASTHMA,5750 CENTRE AVE 270 PITTSBURGH United States 152063721 PA,412-361-8355,Specialist,
"FORT PITT SENIOR HEALTH CARE ASSOCIATES, P.C.",1350 LOCUST ST SUITE G102 PITTSBURGH United States 152194738 PA,412-232-8494,Specialist,
ALLEGHENY MEDICAL PRACTICE NETWORK,1000 W VIEW PARK DR SUITE 1 PITTSBURGH United States 152291785 PA,412-939-3090,Family Medicine,
EVERETT & HURITE OPHTHALMIC ASSOCIATION,1835 FORBES AVE  PITTSBURGH United States 152195835 PA,412-288-0885,Optometrist,
"PULMONARY PARTNERS, LTD",9104 BABCOCK BLVD. SUITE 2103 PITTSBURGH United States 15237 PA,412-367-5020,Internal Medicine Pulmonary Disease,
"DAVID R WEBER, MD PC",5200 CENTRE AVE STE 203 PITTSBURGH United States 152321300 PA,412-784-9440,Internal Medicine Infectious Disease,
"ANTHONY TRAFICANTE PC,",133 JEFFERSON RD  PITTSBURGH United States 152353718 PA,412-242-3664,Dentist General Practice,Dental Care
PITTSBURGH EAR ASSOCIATES PC,420 E NORTH AVE SUITE 402 PITTSBURGH United States 152124746 PA,412-321-2480,Otolaryngology Otology & Neurotology,
ASSOCIATES IN QUALITY PSYCHIATRIC MEDICINE PC,4416 PENN AVENUE  PITTSBURGH United States 15224 PA,412-681-2211,Counselor Mental Health,Mental Health and Rehabilitation
"JAN C. SESKI, M.D.& ASSOCIATES,MD,PC",3358 5TH AVE  PITTSBURGH United States 152133110 PA,412-621-2888,Obstetrics & Gynecology Gynecologic Oncology,Women & Reproductive Care
"APEX MEDICAL SERVICES, INC",1811 GOLDEN MILE HWY SUITE B PITTSBURGH United States 152392827 PA,724-519-2494,Portable X-Ray and/or Other Portable Diagnostic Imaging Supplier,
BRENTWOOD EMERGENCY MEDICAL SERVICES,3624 BROWNSVILLE RD  PITTSBURGH United States 152273153 PA,412-884-8740,"Emergency Medical Technician, Paramedic",
"DME PLUS, INC.",4310 COLONIAL PARK DR  PITTSBURGH United States 152272623 PA,412-253-7600,Durable Medical Equipment & Medical Supplies,
SHADYSIDE CARDIOLOGY ROTATION PC,5230 CENTRE AVE UPMC SHADYSIDE HOSPITAL PITTSBURGH United States 152321304 PA,412-820-0570,Specialist,
"SURGICAL NEUROMONITORING ASSOCIATES, INC.",1384 OLD FREEPORT ROAD  PITTSBURGH United States 15238 PA,412-784-1930,"Specialist/Technologist, Other Surgical Technologist",
DRS BAHL AND BAHL MEDICAL ASSOCIATES,10922 FRANKSTOWN RD  PITTSBURGH United States 152353043 PA,412-241-4149,"Internal Medicine Endocrinology, Diabetes & Metabolism",
DENTAL OFFICE OF GEORGE D FELDER,5208 CLARITON BLVD  PITTSBURGH United States 15236 PA,412-882-1700,Dentist,Dental Care
"W F ODONNELL, MD & ASSOCIATES, LTD",1401 FORBES AVE SUITE 330 PITTSBURGH United States 152195125 PA,412-281-2007,Urology,
"OBSTETRICAL & GYNECOLOGICAL ASSOC OF PITTSBURGH, INC",3380 BLVD OF THE ALLIES SUITE 1 PITTSBURGH United States 152133125 PA,412-621-7575,Obstetrics & Gynecology,Women & Reproductive Care
BENJAMIN SHTRAHMAN MD,9104 BABCOCK BLVD STE 1107 PITTSBURGH United States 152375818 PA,412-369-3911,Psychiatry & Neurology Neurology,
"GENESIS MEDICAL ASSOCIATES, INC.",8150 PERRY HWY SUITE 300 PITTSBURGH United States 152375232 PA,412-369-9550,Family Medicine,
"J.D. MEDICAL SUPPLIES, INC.",121 EDGEWOOD AVE  PITTSBURGH United States 152181593 PA,412-371-0814,Durable Medical Equipment & Medical Supplies,
RICCIARDI'S SHOES,1900 BROWNSVILLE RD  PITTSBURGH United States 152104202 PA,412-885-2586,Durable Medical Equipment & Medical Supplies,
"PRIMARY CARE HEALTH SERVICES, INC.",7227 HAMILTON AVE  PITTSBURGH United States 152081814 PA,412-244-4700,Clinic/Center Federally Qualified Health Center (FQHC),
PRIMARY CARE HEALTH SERVICES INC.,1014 SHEFFIELD ST  PITTSBURGH United States 152331533 PA,412-231-6700,Clinic/Center Federally Qualified Health Center (FQHC),
PRIMARY CARE HEALTH SERVICES INC.,415 NEPTUNE ST  PITTSBURGH United States 152205516 PA,412-921-7200,Clinic/Center Federally Qualified Health Center (FQHC),
"PRIMARY CARE HEALTH SERVICES, INC.",807 WALLACE AVE  PITTSBURGH United States 152212312 PA,412-247-5216,Clinic/Center Federally Qualified Health Center (FQHC),
"BIO-MEDICAL APPLICATIONS OF PENNSYLVANIA, INC.",11624 KELEKET DR  PITTSBURGH United States 152353327 PA,412-244-3931,Clinic/Center End-Stage Renal Disease (ESRD) Treatment,
WMC PHYSICIAN PRACTICES LLC,3 ROBINSON PLZ STE 410  PITTSBURGH United States 152051018 PA,412-489-6445,Specialist,
